cb_point,cs_point,cb_name,cs_project_name,distance,travel_time
POINT (4.835733091 52.41680441),POINT (4.88969 52.37403),Amsterdam Logistic CityHub,Amsterdam Vertical,8530.204000000002,613.6
POINT (4.835733091 52.41680441),POINT (4.83716 52.38666),Amsterdam Logistic CityHub,Crossroads,5291.913999999999,407.19999999999993
POINT (4.835733091 52.41680441),POINT (4.834914 52.388063),Amsterdam Logistic CityHub,Lovely Rita,5492.616999999999,427.4999999999999
POINT (4.835733091 52.41680441),POINT (4.832161 52.385246),Amsterdam Logistic CityHub,Floating Gardens,5212.270999999999,404.3999999999999
POINT (4.835733091 52.41680441),POINT (4.888953 52.403991),Amsterdam Logistic CityHub,De Werf,8348.891000000003,539.7
POINT (4.835733091 52.41680441),POINT (4.942843 52.314353),Amsterdam Logistic CityHub,Spot Amsterdam,-1.0,-1.0
POINT (4.835733091 52.41680441),POINT (4.899064 52.401688),Amsterdam Logistic CityHub,Het Dok,8713.830000000004,562.9
POINT (4.835733091 52.41680441),POINT (4.88969 52.37403),Amsterdam Logistic CityHub,Bajeskwartier,8530.204000000002,613.6
POINT (4.835733091 52.41680441),POINT (4.863917 52.336968),Amsterdam Logistic CityHub,The Pulse,13822.430000000002,711.3000000000003
POINT (4.835733091 52.41680441),POINT (4.893263 52.338411),Amsterdam Logistic CityHub,Crossover,16548.260000000002,801.1000000000001
POINT (4.835733091 52.41680441),POINT (4.902439 52.391734),Amsterdam Logistic CityHub,YOTEL Amsterdam,10186.036,653.3
POINT (4.835733091 52.41680441),POINT (5.014631 52.353964),Amsterdam Logistic CityHub,Juf Nienke,21003.233000000004,1007.0
POINT (4.835733091 52.41680441),POINT (5.014631 52.353964),Amsterdam Logistic CityHub,Robin Wood,21003.233000000004,1007.0
POINT (4.835733091 52.41680441),POINT (4.893148 52.402576),Amsterdam Logistic CityHub,Poppies,8600.627000000002,549.3999999999999
POINT (4.967304417039049 52.311989957296),POINT (4.895168 52.370216),Dura Vermeer Hub ZO,Haut,7506.602999999999,487.6
POINT (4.967304417039049 52.311989957296),POINT (4.971066 52.310754),Dura Vermeer Hub ZO,Switi,0.0,0.0
POINT (4.967304417039049 52.311989957296),POINT (4.903902 52.396051),Dura Vermeer Hub ZO,Stories,13387.492000000006,587.8
POINT (4.967304417039049 52.311989957296),POINT (4.905431 52.39526),Dura Vermeer Hub ZO,Patch 22,13259.320000000003,598.4
POINT (4.967304417039049 52.311989957296),POINT (4.905919 52.395182),Dura Vermeer Hub ZO,Top-up,13124.811000000003,587.0
POINT (4.967304417039049 52.311989957296),POINT (4.960025 52.375651),Dura Vermeer Hub ZO,Horizons Amsterdam,5041.137999999999,237.99999999999997
POINT (4.967304417039049 52.311989957296),POINT (4.960025 52.375651),Dura Vermeer Hub ZO,Patchwork,5041.137999999999,237.99999999999997
POINT (4.967304417039049 52.311989957296),POINT (4.960025 52.375651),Dura Vermeer Hub ZO,Hotel Jakarta,5041.137999999999,237.99999999999997
POINT (4.967304417039049 52.311989957296),POINT (4.863074 52.337128),Dura Vermeer Hub ZO,Stepstone,9794.004,539.9000000000001
POINT (4.967304417039049 52.311989957296),POINT (4.877414 52.338001),Dura Vermeer Hub ZO,The Valley,7921.063999999998,473.0
POINT (4.967304417039049 52.311989957296),POINT (4.837586 52.386348),Dura Vermeer Hub ZO,Lycka,19631.989000000005,757.4999999999999
POINT (4.967304417039049 52.311989957296),POINT (4.960025 52.375651),Dura Vermeer Hub ZO,Justus,5041.137999999999,237.99999999999997
POINT (4.967304417039049 52.311989957296),POINT (4.960025 52.375651),Dura Vermeer Hub ZO,Zo̦p,5041.137999999999,237.99999999999997
POINT (4.967304417039049 52.311989957296),POINT (4.956489 52.323048),Dura Vermeer Hub ZO,World of Food 2.0,2279.9350000000004,107.6
POINT (4.967304417039049 52.311989957296),POINT (4.97222 52.3075),Dura Vermeer Hub ZO,The Ensemble,0.0,0.0
POINT (4.967304417039049 52.311989957296),POINT (4.88969 52.37403),Dura Vermeer Hub ZO,Amsterdam Vertical,8404.176,539.7
POINT (4.967304417039049 52.311989957296),POINT (4.83716 52.38666),Dura Vermeer Hub ZO,Crossroads,19631.989000000005,757.4999999999999
POINT (4.967304417039049 52.311989957296),POINT (4.834914 52.388063),Dura Vermeer Hub ZO,Lovely Rita,19832.692,777.8
POINT (4.967304417039049 52.311989957296),POINT (4.832161 52.385246),Dura Vermeer Hub ZO,Floating Gardens,19552.346,754.6999999999999
POINT (4.967304417039049 52.311989957296),POINT (4.888953 52.403991),Dura Vermeer Hub ZO,De Werf,14072.289999999997,699.2999999999997
POINT (4.967304417039049 52.311989957296),POINT (4.942843 52.314353),Dura Vermeer Hub ZO,Spot Amsterdam,-1.0,-1.0
POINT (4.967304417039049 52.311989957296),POINT (4.899064 52.401688),Dura Vermeer Hub ZO,Het Dok,13847.926000000001,673.8999999999997
POINT (4.967304417039049 52.311989957296),POINT (4.88969 52.37403),Dura Vermeer Hub ZO,Bajeskwartier,8404.176,539.7
POINT (4.967304417039049 52.311989957296),POINT (4.863917 52.336968),Dura Vermeer Hub ZO,The Pulse,9794.004,539.9000000000001
POINT (4.967304417039049 52.311989957296),POINT (4.893263 52.338411),Dura Vermeer Hub ZO,Crossover,6405.133,367.5
POINT (4.967304417039049 52.311989957296),POINT (4.902439 52.391734),Dura Vermeer Hub ZO,YOTEL Amsterdam,13122.533000000007,572.6000000000001
POINT (4.967304417039049 52.311989957296),POINT (5.014631 52.353964),Dura Vermeer Hub ZO,Juf Nienke,7181.438,398.89999999999986
POINT (4.967304417039049 52.311989957296),POINT (5.014631 52.353964),Dura Vermeer Hub ZO,Robin Wood,7181.438,398.89999999999986
POINT (4.967304417039049 52.311989957296),POINT (4.893148 52.402576),Dura Vermeer Hub ZO,Poppies,13734.723,660.3999999999996
