material,unit,biobased_type,structural_type,buildingType,tons
timber,tons,none,structural,B,75.0
aluminium,tons,none,non-structural,B,12.0
brick,tons,none,non-structural,B,180.0
cement_cover-floor,m3,none,non-structural,B,50.0
concrete_in-situ,m3,none,non-structural,B,300.0
concrete_prefab,tons,none,non-structural,B,180.0
furnishing_stone,tons,none,non-structural,B,25.0
glass,m3,none,non-structural,B,60.0
gravel_sand,tons,none,non-structural,B,300.0
gypsum,tons,none,non-structural,B,37.0
isolation,m3,none,non-structural,B,25.0
plastic,tons,none,non-structural,B,12.0
rubber,tons,none,non-structural,B,7.0
steel,tons,none,non-structural,B,125.0
timber,tons,none,non-structural,B,37.0
modules,number,none,non-structural,B,100.0
aluminium,tons,semi,foundation,B,0.0
brick,tons,semi,foundation,B,0.0
cement_cover-floor,m3,semi,foundation,B,0.0
concrete_in-situ,m3,semi,foundation,B,320.0
concrete_prefab,tons,semi,foundation,B,0.0
furnishing_stone,tons,semi,foundation,B,0.0
glass,m3,semi,foundation,B,0.0
gravel_sand,tons,semi,foundation,B,0.0
gypsum,tons,semi,foundation,B,0.0
isolation,m3,semi,foundation,B,0.0
plastic,tons,semi,foundation,B,0.0
rubber,tons,semi,foundation,B,0.0
steel,tons,semi,foundation,B,80.0
timber,tons,semi,foundation,B,0.0
aluminium,tons,semi,structural,B,20.0
brick,tons,semi,structural,B,280.0
cement_cover-floor,m3,semi,structural,B,72.0
concrete_in-situ,m3,semi,structural,B,480.0
concrete_prefab,tons,semi,structural,B,288.0
furnishing_stone,tons,semi,structural,B,40.0
glass,m3,semi,structural,B,96.0
gravel_sand,tons,semi,structural,B,480.0
gypsum,tons,semi,structural,B,60.0
isolation,m3,semi,structural,B,40.0
plastic,tons,semi,structural,B,20.0
rubber,tons,semi,structural,B,9.600000000000001
steel,tons,semi,structural,B,200.0
timber,tons,semi,structural,B,60.0
aluminium,tons,semi,non-structural,B,10.0
brick,tons,semi,non-structural,B,0.0
cement_cover-floor,m3,semi,non-structural,B,0.0
concrete_in-situ,m3,semi,non-structural,B,0.0
concrete_prefab,tons,semi,non-structural,B,0.0
furnishing_stone,tons,semi,non-structural,B,20.0
glass,m3,semi,non-structural,B,50.0
gravel_sand,tons,semi,non-structural,B,0.0
gypsum,tons,semi,non-structural,B,30.0
isolation,m3,semi,non-structural,B,20.0
plastic,tons,semi,non-structural,B,0.0
rubber,tons,semi,non-structural,B,6.0
steel,tons,semi,non-structural,B,100.0
timber,tons,semi,non-structural,B,160.0
modules,number,semi,non-structural,B,100.0
aluminium,tons,full,foundation,B,0.0
brick,tons,full,foundation,B,0.0
cement_cover-floor,m3,full,foundation,B,0.0
concrete_in-situ,m3,full,foundation,B,320.0
concrete_prefab,tons,full,foundation,B,0.0
furnishing_stone,tons,full,foundation,B,0.0
glass,m3,full,foundation,B,0.0
gravel_sand,tons,full,foundation,B,0.0
gypsum,tons,full,foundation,B,0.0
isolation,m3,full,foundation,B,0.0
plastic,tons,full,foundation,B,0.0
rubber,tons,full,foundation,B,0.0
steel,tons,full,foundation,B,80.0
timber,tons,full,foundation,B,0.0
aluminium,tons,full,structural,B,0.0
brick,tons,full,structural,B,0.0
cement_cover-floor,m3,full,structural,B,0.0
concrete_in-situ,m3,full,structural,B,0.0
concrete_prefab,tons,full,structural,B,0.0
furnishing_stone,tons,full,structural,B,0.0
glass,m3,full,structural,B,0.0
gravel_sand,tons,full,structural,B,0.0
gypsum,tons,full,structural,B,0.0
isolation,m3,full,structural,B,0.0
plastic,tons,full,structural,B,0.0
rubber,tons,full,structural,B,0.0
steel,tons,full,structural,B,0.0
timber,tons,full,structural,B,1500.0
aluminium,tons,full,non-structural,B,10.0
brick,tons,full,non-structural,B,0.0
cement_cover-floor,m3,full,non-structural,B,0.0
concrete_in-situ,m3,full,non-structural,B,0.0
concrete_prefab,tons,full,non-structural,B,0.0
furnishing_stone,tons,full,non-structural,B,20.0
glass,m3,full,non-structural,B,50.0
gravel_sand,tons,full,non-structural,B,0.0
gypsum,tons,full,non-structural,B,30.0
isolation,m3,full,non-structural,B,20.0
plastic,tons,full,non-structural,B,0.0
rubber,tons,full,non-structural,B,6.0
steel,tons,full,non-structural,B,100.0
timber,tons,full,non-structural,B,160.0
modules,number,full,non-structural,B,100.0
aluminium,tons,extreme,foundation,B,0.0
brick,tons,extreme,foundation,B,0.0
cement_cover-floor,m3,extreme,foundation,B,0.0
concrete_in-situ,m3,extreme,foundation,B,0.0
concrete_prefab,tons,extreme,foundation,B,0.0
furnishing_stone,tons,extreme,foundation,B,0.0
glass,m3,extreme,foundation,B,0.0
gravel_sand,tons,extreme,foundation,B,0.0
gypsum,tons,extreme,foundation,B,0.0
isolation,m3,extreme,foundation,B,0.0
plastic,tons,extreme,foundation,B,0.0
rubber,tons,extreme,foundation,B,0.0
steel,tons,extreme,foundation,B,0.0
timber,tons,extreme,foundation,B,1000.0
aluminium,tons,extreme,structural,B,0.0
brick,tons,extreme,structural,B,0.0
cement_cover-floor,m3,extreme,structural,B,0.0
concrete_in-situ,m3,extreme,structural,B,0.0
concrete_prefab,tons,extreme,structural,B,0.0
furnishing_stone,tons,extreme,structural,B,0.0
glass,m3,extreme,structural,B,0.0
gravel_sand,tons,extreme,structural,B,0.0
gypsum,tons,extreme,structural,B,0.0
isolation,m3,extreme,structural,B,0.0
plastic,tons,extreme,structural,B,0.0
rubber,tons,extreme,structural,B,0.0
steel,tons,extreme,structural,B,0.0
timber,tons,extreme,structural,B,1500.0
aluminium,tons,extreme,non-structural,B,10.0
brick,tons,extreme,non-structural,B,0.0
cement_cover-floor,m3,extreme,non-structural,B,0.0
concrete_in-situ,m3,extreme,non-structural,B,0.0
concrete_prefab,tons,extreme,non-structural,B,0.0
furnishing_stone,tons,extreme,non-structural,B,20.0
glass,m3,extreme,non-structural,B,50.0
gravel_sand,tons,extreme,non-structural,B,0.0
gypsum,tons,extreme,non-structural,B,30.0
isolation,m3,extreme,non-structural,B,20.0
plastic,tons,extreme,non-structural,B,0.0
rubber,tons,extreme,non-structural,B,6.0
steel,tons,extreme,non-structural,B,100.0
timber,tons,extreme,non-structural,B,160.0
modules,number,extreme,non-structural,B,100.0
